央视,#genre#
CCTV5,http://171.8.84.8:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://139.227.221.14:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://125.43.246.32:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://125.43.246.191:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://58.18.42.26:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://121.19.134.202:808/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://121.19.134.202:808/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://121.19.134.142:808/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://121.19.134.142:808/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://113.64.147.225:8081/hls/5/index.m3u8
CCTV5+,http://113.64.147.225:8081/hls/16/index.m3u8
CCTV5,http://113.64.147.170:8081/hls/5/index.m3u8
CCTV5+,http://113.64.147.170:8081/hls/16/index.m3u8
CCTV5,http://101.66.194.203:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://101.66.194.203:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://123.149.114.41:8009/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://119.51.52.109:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://221.205.22.60:9003/hls/5/index.m3u8
CCTV5+,http://221.205.22.60:9003/hls/6/index.m3u8
CCTV5,http://171.118.203.204:9003/hls/5/index.m3u8
CCTV5+,http://171.118.203.204:9003/hls/6/index.m3u8
CCTV5,http://183.191.48.108:9003/hls/5/index.m3u8
CCTV5+,http://183.191.48.108:9003/hls/6/index.m3u8
CCTV6,http://183.184.50.206:9003/hls/7/index.m3u8
CCTV6,http://113.241.133.223:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://183.62.8.58:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://218.1.144.52:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://116.232.150.99:50001/tsfile/live/0001_6.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://114.241.107.197:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV6,http://114.241.111.4:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV6,http://119.49.187.223:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://110.241.188.75:808/hls/6/index.m3u8
CCTV6,http://171.8.84.8:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://171.8.84.8:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://139.227.221.14:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://125.43.246.32:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://125.43.246.191:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://58.18.42.26:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://121.19.134.202:808/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://121.19.134.142:808/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://113.64.147.225:8081/hls/6/index.m3u8
CCTV6,http://113.64.147.170:8081/hls/6/index.m3u8
CCTV6,http://101.66.194.203:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://101.66.194.203:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://123.149.114.41:8009/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://119.51.52.109:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://221.205.22.60:9003/hls/7/index.m3u8
CCTV6,http://171.118.203.204:9003/hls/7/index.m3u8
CCTV6,http://183.191.48.108:9003/hls/7/index.m3u8
CCTV7,http://183.184.50.206:9003/hls/8/index.m3u8
CCTV7,http://113.241.133.223:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://183.62.8.58:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://218.1.144.52:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://116.232.150.99:50001/tsfile/live/0001_7.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://114.241.107.197:85/tsfile/live/7/1007_1.m3u8?key=txiptv
CCTV7,http://114.241.111.4:85/tsfile/live/7/1007_1.m3u8?key=txiptv
CCTV7,http://119.49.187.223:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://110.241.188.75:808/hls/7/index.m3u8
CCTV7,http://171.8.84.8:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://171.8.84.8:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://139.227.221.14:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://125.43.246.32:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://125.43.246.191:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://58.18.42.26:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://121.19.134.202:808/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://121.19.134.142:808/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://113.64.147.225:8081/hls/7/index.m3u8
CCTV7,http://113.64.147.170:8081/hls/7/index.m3u8
CCTV7,http://101.66.194.203:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://101.66.194.203:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://123.149.114.41:8009/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://119.51.52.109:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
